Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Carboplatin	N	Y	Y		Y	1989	Y	<a href="https://go.drugbank.com/drugs/DB00958">DB00958</a>	L01XA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1351">CHEMBL1351</a>	Advanced Cervical Cancer; Advanced Endometrial Cancer; Advanced Esophageal Cancers; Advanced Head and Neck Cancer; Advanced Melanoma; Advanced Non Small Cell Lung Cancer; Advanced Ovarian Carcinoma; Advanced Sarcoma; Metastatic Breast Cancer; Neuroendocrine Carcinoma of the Skin; Pleural mesothelioma malignant; Refractory Hodgkin Lymphoma; Retinoblastoma; Advanced Bladder cancer; Advanced Small cell lung cancer; Advanced Testicular cancer; Advanced Thymoma; Advanced thymic carcinoma; Refractory Non-Hodgkin&#39;s lymphoma	MUCL3; BIRC5; SCN10A; XRCC1; EGFR; TNF; ADAMTSL4-AS1; ERCC1; BCL2; GCLC; DDX53; PIK3CA; DOCK8; MTHFR; MSH2; MSH6; CD274; RAF1; KRAS; BRCA2; NRG3; HCP5; SLCO1B3; OR4D6; SLC31A1; NR1I2; ERCC2; GSR; ETS2; FGFR1; MLH1; CYP3A5; C6orf15; ATP7A; DSCAM; PPP1R18; ERBB3; TP53; VEGFA; PRRC2A; TRIM5; HLA-C; ATAT1; BRCA1; ALK; EIF4E2; TP73; UGT1A1; PSORS1C1; GSTT1; ATP7B; TIGD1; NF2; GSTP1; POLK; NRAS; MAD1L1; MAP3K1; MSH5; ROS1; MAPT; RNF8; KAT2A; RRM1; PTEN; XYLT2; KEAP1; GPX5; CDSN; HSD17B10; FNTB; NRG1; ALDH1A1; ACSS2; VDR; SLC19A1; ALDH3A1; CDK2; ASS1; SERPINA5; APEX1; CDKN1A; USP1; LIG3; PMS2; ERBB2; SERPINC1; ABCB1	2024-07-24	
Carfilzomib	Y	Y	N		N	2009	N	<a href="https://go.drugbank.com/drugs/DB08889">DB08889</a>	L01XG02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL451887">CHEMBL451887</a>	Refractory Multiple Myeloma; Waldenstrom&#39;s Macroglobulinemia (WM)	PSMD1; PSMB6; PSMD11; PSMA3; PSMD4P1; PSMA6; PSMC1; PSMB2; ADRM1; PSMD4; PSMD8; PSMB7; PSMB5; PSMA8; PSMD13; PSME2; PSMC2; PSMB8; PSMB1; PSMB10; FRA6F; PSMA1; PSMC4; PSMA2; PSMD12; PSMA4; SEM1; PSMC3IP; NFE2L2; PSMD2; VEGFA; PSME3; PSMA5; PSMD3; PSMC5; PSMB11; PSMA7; PSMC3; PIPSL; PSME2P2; PSMB9; PSMB4; PSMD9; PSME4; PRB2; AR; PSMF1; PSMD6; PSMC1P1; PSMD10P3; PSMD10P1; KDR; PSMD10; PSME1; PSMD10P2; PSMC6; PSMB3; PSMD14; PSMD7; PSMD5	2024-07-24	
Carmofur	N	N	N	Japan	N			<a href="https://go.drugbank.com/drugs/DB09010">DB09010</a>	L01BC04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL460499">CHEMBL460499</a>		CYP3A4	2024-02-07	
Carmustine	Y	Y	N		N	1977	Y	<a href="https://go.drugbank.com/drugs/DB00262">DB00262</a>	L01AD01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL513">CHEMBL513</a>	Astrocytomas; Brain Stem Gliomas; Ependymomas; Glioblastomas; Medulloblastomas; Mycosis Fungoides (MF); Recurrent Glioblastoma Multiforme; Refractory Hodgkin Lymphoma; Refractory Multiple Myeloma; Tumors Metastatic to Brain; High grade newly diagnosed Glioma; Refractory Non-Hodgkin&#39;s lymphoma	MGMT; ALDH1A1; GSR; CYP2C19; CYP2D6; CYP2C9; PLAU; CYP1A2; G6PD; E2F1; CYP3A4	2024-07-25	
Cemiplimab	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB14707">DB14707</a>	L01FF06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297723">CHEMBL4297723</a>	Metastatic cutaneous squamous cell carcinoma; Locally advanced cutaneous squamous cell carcinoma, and not a candidate for curative surgery or curative radiation	PDCD1; CD274; EGFR; GM2A; ALK; CDK12; ROS1	2024-07-24	
Ceritinib	Y	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB09063">DB09063</a>	L01ED02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2403108">CHEMBL2403108</a>	Refractory, locally advanced Non-small cell lung cancer; Refractory, metastatic Non small cell lung cancer	ABCB1; ROS1; DPEP1; ALK; NRAS; DPYS; TSSK1B; FGF12; NPM1; KEAP1; TP53; IGF1R; DPH1; MAP2K1; CYP3A4; HBEGF; EML4; INSR	2024-07-24	
Cetuximab	Y	Y	N		N	2004	N	<a href="https://go.drugbank.com/drugs/DB00002">DB00002</a>	L01FE01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201577">CHEMBL1201577</a>	Locally Advanced Squamous Cell Carcinomas of the Head and Neck (SCCHN); Metastatic Colorectal Cancer (MCRC); Metastatic Squamous Cell Carcinoma of the Head and Neck; Recurrent Squamous Cell Carcinoma of the Head or Neck; Regionally Advanced Squamous Cell Carcinoma of the Head and Neck	NRAS; TGFA; EGFR; EREG; CTNNB1; KRAS; CXCL8; BRAF; NT5E; BDNF; PIK3CA; EGF; NF2; PTEN; CDKN2A; MGAT4A; BAX; BTC; SMAD4; NRG2; NRG3; ERBB2; HRAS; ERBB3; FCGR3A; VPS37A; AREG; DXO; PTP4A3; MET; HBEGF; TP53; MAP2K1; IDH1; NRG1; GC	2024-07-24	
Chlorambucil	N	Y	Y		Y	1957	N	<a href="https://go.drugbank.com/drugs/DB00291">DB00291</a>	L01AA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL515">CHEMBL515</a>	Chronic Lymphocytic Leukaemia (CLL); Hodgkins Disease (HD); Non-Hodgkin&#39;s Lymphoma (NHL); Waldenstrom&#39;s Macroglobulinemia (WM); Giant follicular lymphoma	ERBB2; GSTM1; TP53; RORC; FANCC; MGMT; GFER; BAZ2B; NFKB1; CXCL12	2024-07-24	
Ciltacabtagene Autoleucel	Y	Y	N		N	2022	N	<a href="https://go.drugbank.com/drugs/DB16738">DB16738</a>		<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4802263">CHEMBL4802263</a>	Refractory Multiple Myeloma, Relapsed Multiple Myeloma		2024-07-24	
Cisplatin	N	Y	Y		Y	1978	Y	<a href="https://go.drugbank.com/drugs/DB00515">DB00515</a>	L01XA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2068237">CHEMBL2068237</a>	Advanced Pancreatic Cancer; Breast Cancer; Cervical Cancers; Esophageal Cancers; Head and Neck Carcinoma; Hepatobiliary Cancers; Hepatoblastomas; Malignant Neoplasm of Stomach; Medulloblastomas; Metastatic Melanoma; Multiple Myeloma (MM); Neuroblastomas; Non-Small Cell Lung Carcinoma (NSCLC); Ovarian Cancer Metastatic; Pleural Mesotheliomas; Primary Central Nervous System Lymphoma (PCNSL); Recurrent Endometrial Cancer; Refractory Hodgkin Lymphoma; Sarcoma, Osteogenic; Small Cell Lung Cancer (SCLC); Thymic Cancer; Advanced Bladder cancer; Metastatic Anal cancer; Metastatic Endometrial cancer; Metastatic Penile cancer; Metastatic Testicular cancer; Refractory Non-Hodgkin&#39;s lymphoma	CSNK2A3; HEXB; ATM; MLLT3; PPP1R13L; PIK3CA; ERCC4; PLAU; DCBLD1; HMGB1; TPMT; TP53; ERCC1; SYNE3; MECP2; FXN; FGFR1; BAX; ATR; ANPEP; CLCN6; BRCA1; CBX1; BCL2; FANCC; GRP; ERCC6; DFFB; GALNT14; IL6; PRL; GPX5; HPGD; GNAS; TGM2; DDIT3; MGMT; ESR1; MDH2; FASLG; NFE2L2; MPHOSPH8; KDM4E; XIAP; MUTYH; CASP3; CGA; XRCC1; RGS4; TERC; ABCC1; G6PD; CDC25C; GADD45A; ERCC2; FAS; TOP1; KRAS; GSTP1; GSTT1; ATRX; GABPA; GCLM; GCLC; ABCC4; SLC19A1; TYMS; HSD17B10; CYBA; ASS1; LIF; AURKA; ALDH1A1; MTHFD1; FANCA; POLR1G; CD44; MAPT; ALK; ATP7B; EGFR; RB1; SLC22A1; H2AC25; NRAS; APEX1; RECQL; GSTM4; NF2; PPARD; TMEM43; STAT1; OSGEP; GALNT18; DNMT1; BIRC7; MT1H; NR1I2; MAP3K1; RARS1; NHLH1; BRCA2; MDM2; MIR21; EHMT2; IDH1; XRCC3; TP73; SMARCA4; MYCN; CCND1; UBE2I; RAF1; ADH1C; ALOX15; DRAM1; AQP9; HSPA8; ACTL6A; IFNG; E2F1; SEMA6A; KRT20; CDH17; HTR4; MT1F; WFS1; BIRC5; NRG1; RRM1; CHEK1; ABCC5; HSPA4; MSH2; ACSS2; BLMH; CDK12; KAT2A; XRCC5; PTEN; CXCR4; NTRK2; FGFR3; MYC; CD274	2024-07-25	
Cladribine	Y	Y	N		N	1993	Y	<a href="https://go.drugbank.com/drugs/DB00242">DB00242</a>	L04AA40; L01BB04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1619">CHEMBL1619</a>	Chronic Lymphocytic Leukaemia (CLL); Cutaneous T-Cell Lymphoma (CTCL); Hairy Cell Leukemia (HCL); Non-Hodgkin&#39;s Lymphoma (NHL)	DCK; TP53; XIAP; RRM2B; TGFB1; BCL2L2; RRM1; RRM2; CDKN1A; DIABLO; ADA; YES1; IL2RA; NT5C1A; NFE2L2	2024-07-24	
Clofarabine	Y	Y	N		N	2004	Y	<a href="https://go.drugbank.com/drugs/DB00631">DB00631</a>	L01BB06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1750">CHEMBL1750</a>	Acute Lymphoblastic Leukaemia Recurrent; Refractory Acute Lymphoblastic Leukemia; Refractory Acute Myelogenous Leukemia (AML); Refractory Langerhans cell histiocytosis	RRM2; AR; POLA1; POLD2; POLA2; FLT3; POLE2; PRIM1; NIPSNAP2; POLD1; APBB1; GBA1LP; RRM2B; POLD3; POLE3; POLE; PRIM2; POLD4; RRM1	2024-07-24	
Cobimetinib	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB05239">DB05239</a>	L01EE02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2146883">CHEMBL2146883</a>	Metastatic Melanoma; Unresectable Melanoma	BRAF; NRAS; MAP2K2; NR2F6; KRAS; CDKN2A; PIK3CA; MAP2K7; CBL; MAP2K5; MAP2K6; MAP2K4; ERCC2; MAP2K1; NF1; RAF1; MAP2K3; ARAF	2024-07-24	
Copanlisib	N	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB12483">DB12483</a>	L01EM02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3218576">CHEMBL3218576</a>	Relapsed Follicular Lymphoma	PIK3R2; NRAS; PIK3CG; PIK3R4; PIK3R5; PIK3CD; PIK3CB; PIK3CA; PIK3R3; F7; KIT; PIK3C3; PIK3R6; F7R; PIK3C2A; PTEN; PIK3C2G; AURKB; ETFB; F5; PIK3R1; PIK3C2B	2024-07-24	
Crizotinib	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08865">DB08865</a>	L01ED01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL601719">CHEMBL601719</a>	Metastatic Non-Small Cell Lung Cancer	ROS1; EML4; DRD4; ALK; NPM1; BRAF; MET; ABCB1; KIT; HBEGF; TP53; ERBB2; PIK3CA; JAK2; NTRK1; PTPN12; ABL1; IGF1R; KEAP1; NTRK2; MDM2; KRAS; NTRK3; AREG; HRAS; EGFR	2024-07-24	
Cyclophosphamide	N	Y	Y		Y	1959	Y	<a href="https://go.drugbank.com/drugs/DB00531">DB00531</a>	L01AA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL88">CHEMBL88</a>	Acute Lymphoblastic Leukaemias (ALL); Acute Myelocytic Leukemia; Adenocarcinoma of the Ovaries; Breast Cancer; Burkitt&#39;s Lymphoma; Chronic Lymphocytic Leukaemia (CLL); Chronic Myeloid Leukemia (CML); Disseminated Neuroblastoma; Ewing&#39;s Sarcoma; Lung Cancers; Lymphoma, Hodgkins; Multiple Myeloma (MM); Non-Hodgkin&#39;s Lymphoma (NHL); Ovarian germ cell tumour; Pheochromocytomas; Retinoblastoma; Rhabdomyosarcomas; Waldenstrom&#39;s Macroglobulinemia (WM); Advanced Alibert-Bazin syndrome; Histiocytic lymphoma; Metastatic gestational trophoblastic tumor; Mixed-cell type lymphoma; Refractory Small cell lung cancer; Relapsed Wilm&#39;s tumor	EHMT2	2024-07-25	
Cytarabine	Y	Y	N		Y	1969	Y	<a href="https://go.drugbank.com/drugs/DB00987">DB00987</a>	L01BC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL803">CHEMBL803</a>	Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Promyelocytic Leukemia (APL); Leptomeningeal Metastases; Meningeal leukemia; Non-Hodgkin&#39;s Lymphoma (NHL); Blast phase Chronic myelocytic leukemia	ADH1A; IDH2; TP53; CYP3A4; GSTP1; PRIM1; IKZF1; POLA1; HSPA4; KIT; ITGAV; POLD2; GATA3; CCND1; SULT2B1; NQO1; WT1; P2RY12; MSH2; IL1B; EHMT2; TYMSOS; CPT1A; MIR4268; ALK; IGHMBP2; IDH1; CSF2; KMT2A; POLE; NOS3; BIRC5; PRIM2; DOK5; ABCC3; RRM1; CYP2D6; quinone dehydrogenase 2; BMP7; FLT3; TYMS; ATF5; PNPLA3; SLC22A12; NT5C2; POLE2; NRG1; FCGR3A; BRD10; CYP2C9; MIR3117; POLD3; POLA2; SLC29A1; CYP1A2; UGT1A1; VDR; ABCC4; NRAS; RUNX1; RRM2B; POLE3; SLCO1B1; TP73; MED12L; XIAP; FCGR3B; CYP2E1; TPMT; POLD4; NTRK1; CBR3; POLB; MAGEA1; POLD1; NT5C3A; CYP2C19; RRM2; CDA; NCOA3; LINC00251	2024-07-24	
Dabrafenib	Y	Y	N		N	2013	N	<a href="https://go.drugbank.com/drugs/DB08912">DB08912</a>	L01EC02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2028663">CHEMBL2028663</a>	Metastatic Melanoma; Unresectable Melanoma; Metastatic Non-small cell lung cancer with a BRAF V600E mutation; Pediatric  low-grade glioma (LGG) with a BRAF V600E mutation; Locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation	NRAS; MAP2K4; MAP2K2; MITF; ALK; HLA-DRB1; HRAS; MAP2K6; PIK3CA; CDKN2A; MAP2K1; G6PD; ATXN1L; EFNA2; AKT1; NF1; RAC1; KRAS; CD274; EML4; MAP2K3; TP53; MAP2K5; MAP2K7; PTEN; BRAF; EZH2	2024-07-24	
Dacarbazine	N	Y	Y		Y	1975	Y	<a href="https://go.drugbank.com/drugs/DB00851">DB00851</a>	L01AX04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL476">CHEMBL476</a>	Advanced Soft Tissue Sarcoma; Lymphoma, Hodgkins; Metastatic Melanoma; Pheochromocytomas; Advanced Medullary thyroid cancer; Advanced Pancreatic neuroendocrine tumor	ADK; CYP2C19; CYP1A2; CYP2D6; FN1; CYP2C9; POLA2; MGMT; BAX; CYP1A1; CYP3A4; GSTM1; EPM2AIP1; CXCL8; PLAU	2024-07-25	
Dacomitinib	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11963">DB11963</a>	L01EB07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2110732">CHEMBL2110732</a>	Metastatic Non-Small Cell Lung Cancer	ERBB4; DXO; EN1; ERBB3; EGFR; ERBB2	2024-07-24	
Dactinomycin	N	Y	N		Y	1964	Y	<a href="https://go.drugbank.com/drugs/DB00970">DB00970</a>	L01DA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1554">CHEMBL1554</a>	Ewing&#39;s Sarcoma; Ovarian Cancer; Rhabdomyosarcomas; Sarcoma, Osteogenic; Wilms&#39; tumor; Metastatic nonseminomatous Testicular cancer	CEL; NR3C1; MTHFR; VDR; CYP1A2; MTR; TOP2A; EHMT2; NRG1; COIL; RORC; THRB; ESR1; PPARD; NTF3; BGLAP; RECQL; DDIT3; RXRA; TNFRSF8; GRB2; TFPI; CYP3A4; TNFRSF1B; PIK3CB; CYP2D6; CSF1; CD5; ALOX15; AR; AFP; BIRC5; BDNF; APEX1; HTT	2024-07-24	
Daratumumab	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB09331">DB09331</a>	L01FC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743007">CHEMBL1743007</a>	Multiple Myeloma (MM); Refractory Multiple Myeloma; Relapsed Multiple Myeloma; Relapsed Or Refractory Multiple Myeloma		2024-07-24	
Daratumumab, Hyaluronidase	N	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB09331">DB09331</a>	L01FC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743007">CHEMBL1743007</a>	Multiple Myeloma (MM); Refractory Multiple Myeloma; Relapsed Multiple Myeloma; Relapsed Or Refractory Multiple Myeloma		2024-07-24	
Darolutamide	Y	Y	N		N	2019	N	<a href="https://go.drugbank.com/drugs/DB12941">DB12941</a>	L02BB06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297185">CHEMBL4297185</a>	Non-mestatatic castrate-resistant prostate cancer	AR; BEVI	2024-07-24	
Dasatinib	Y	Y	N		Y	2006	Y	<a href="https://go.drugbank.com/drugs/DB01254">DB01254</a>	L01EA02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1421">CHEMBL1421</a>	Acute Lymphoblastic Leukaemias (ALL); Chronic Myeloid Leukemia (CML)	TEC; LCK; EPHA2; KIT; ABL2; ACVR1; PDGFRB; PPARD; SRC; LIMK1; HRAS; PLK4; ABL1; PDGFRA; IDH2; FBLN2; KRAS; BTK; IDH1; FYN; FRK; BRCA2; BCR; FES; CBL; KDR; MAP3K20; TET2; LYN; YES1; DDR2; ABCG2; TAOK1; SLK; SYK; MS4A2; JAK2; MAP4K5; CSF3R; SRMS; MAP2K2; AURKB; PIK3CA; IRAK4; FGFR1; PTK6; MAP3K10; NF1; ARID1A; BLK; SMAD3; PKN2; GMNN; SIK2; FAU; ERBB4; APC; ABI1; ABCB1; AR; MAP2K1; MINK1; CSF1R; FAUNA@; ERBB2; CRKL; FGR; STAT5B; MAPK14; ESR1; FGFR3; BRAF; CDC42BPA; HCK; TNK2; AXL; DYRK3	2024-07-24	
Daunorubicin	N	Y	Y		Y	1979	Y	<a href="https://go.drugbank.com/drugs/DB00694">DB00694</a>	L01DB02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL178">CHEMBL178</a>	Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Myeloid Leukemia With Myelodysplasia-Related Changes; Acute erythroid leukemia; Acute monocytic leukaemia; Newly diagnosed Therapy-Related Acute Myeloid Leukemia	MTHFR; SLC22A7; SLC22A17; TOP2B; KMT2A; MIR4268; IGHMBP2; CYP2J2; MIR3117; ATF5; CPT1A; GPX3; SERPINA6; HTT; POLK; EHMT2; RPSA; AR; WT1; XDH; TOP2A; GATA3; DCK; CDK2; AKR1C3; DOK5; TOP1; THRB; PNPLA3; DNMT3A; TYMSOS; TYMS; ABCC1; BMP7; GSTP1; LINC00251; MAPT; UGT1A1; ABCB1; SLCO1B1; RUNX1; SLC13A3; MAN1B1; APEX1; HDAC4; NOS3; SETD4; HDAC9; GSTA2; IKZF1; HDAC5; ABCG2; HDAC10; HDAC3; APP; CYP1A1; NRP2; NPM1; SLC15A1; ABCA1; SLCO4C1; HDAC1; TPMT; HDAC8; IDH2; ANXA5; AKR1C4; CBR1; HDAC7; KDM4E; CBFB; SLCO6A1; USP1; ABCC9; RECQL; HDAC2; SOD2; AKR7A2; SZRD1; HDAC6; ABCB11; HDAC11; FLT3; GSTM3; COL1A2; FAS; CDA; IDH1; ATP7B; ABCC10; BLM	2024-07-24	
Daunorubicin, Cytarabine Liposome	Y	Y	N		N	2017	Y	<a href="https://go.drugbank.com/drugs/DB00694">DB00694</a>	L01XY01;  L01DB02		Acute Lymphocytic Leukemia (ALL); Acute Myeloid Leukemia (AML); Acute Myeloid Leukemia With Myelodysplasia-Related Changes; Acute erythroid leukemia; Acute monocytic leukaemia; Newly diagnosed Therapy-Related Acute Myeloid Leukemia		2021-10-28	
Decitabine	Y	Y	N		N	2006	Y	<a href="https://go.drugbank.com/drugs/DB01262">DB01262</a>	L01BC08	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201129">CHEMBL1201129</a>	Chronic Myelomonocytic Leukemia; Myelodysplastic Syndromes (MDS)	DNMT3A; CYP27B1; LIF; THBS1; IDH2; KRAS; CDKN2D; TP53; GSTP1; RB1; NR5A1; CDA; GMNN; TGM2; APC; MAGEA1; FLT3; CR2; HLA-E; CCND2; IDH1; CTAG1B; DNMT1; MUC2; IL2RA	2024-07-25	
Decitabine , Cedazuridine	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/Not found in DrugBank">Not found in DrugBank</a>	L01BC58		Acute Myeloid Leukaemia		2023-08-01	
Degarelix	Y	Y	N		N	2008	N	<a href="https://go.drugbank.com/drugs/DB06699">DB06699</a>	L02BX02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL415606">CHEMBL415606</a>	Advanced Prostate Cancer	GNRHR; GNRHR2	2024-07-24	
Denileukin Diftitox	N	Y	N		N	1999	N	<a href="https://go.drugbank.com/drugs/DB00004">DB00004</a>	L01XX29	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201550">CHEMBL1201550</a>	Cutaneous T-Cell Lymphoma (CTCL)	IL2RG; IL2RB; EEF2; IL12RB1; IL12RB2; IL2RA	2024-07-24	
Denosumab	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06643">DB06643</a>	M05BX04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1237023">CHEMBL1237023</a>	Giant cell tumor of the bone; Refractory Hypercalcemia of malignancy	TNFSF11; TNFRSF11A; BRAF	2024-07-24	
Dexamethasone	Y	Y	N		Y	1958	Y	<a href="https://go.drugbank.com/drugs/DB01234">DB01234</a>	S03BA01; S02BA06; S01CB01; S01BA01; R01AD03; H02AB02; D10AA03; D07XB05; D07AB19; C05AA09; A01AC02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL384467">CHEMBL384467</a>	Leukemia, Acute; Malignant Lymphomas; Multiple Myeloma (MM); Mycosis Fungoides (MF)	NR3C1; ANXA1; CDK4; CYP2C9; F2RL1; KDR; NRG1; NFE2L2; PTGDR; CHKA; CCL17; RARA; AR; TSC22D3; PZP; DOK5; HSPA8; CDK6; BDM; HTR7; SOAT1; CD86; CARTPT; CRISPLD2; GATA3; SI; CYP2C19; APOB; NR5A1; DPEP1; BMP7; FABP1; RPS19; CYP3A4; CDH17; CHRM3; PYGL; TDO2; CTNNB1; HYAL2; SAG; TYMS; ACTC1; MT1F; GSTP1; TJP1; THRSP; JAK3; S100A10; UBR1; NR1I2; NTRK1; AGTR1; PTH1R; F9; TEAD1; SLC2A4; VEGFA; KRT19; FOLR1; RET; SFTPA1; NPPC; CDK2; SDS; CYP1A2; TGFBR3; BIRC5; VCAM1; GGT1; LIF; IRS2; NR3C2; SERPINE1; IGFBP1; LINC00251; CYP2D6; CHAT; GLS; ALK; UGT1A1; BCL2L11; SMAD3; JUNB; TG; RELA	2024-07-25	
Diethylstilbestrol	N	N	Y		N	1973	N	<a href="https://go.drugbank.com/drugs/DB00255">DB00255</a>	G03CC05; G03CB02; L02AA01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL411">CHEMBL411</a>		BDNF; ESRRB; SLC5A7; GMNN; PTGES3; CYP3A4; AMH; RORC; HRAS; CYP2D6; ESR2; BDKRB2; NPPC; LPO; BDKRB1; CYP1A2; AR; CP; NR1H4; CYP2C19; CYP2C9; NFE2L2; TP53; ERBB2; E2F1; BCYRN1P2; NR1I2; ESRRG; WNT7A; MYC; DNMT1; BCL2; ESR1	2024-07-24	
Dinutuximab	Y	Y	N		N	2015	N	<a href="https://go.drugbank.com/drugs/DB09077">DB09077</a>	L01XC16	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3137342">CHEMBL3137342</a>	High Risk Neuroblastoma	MYCN	2024-02-07	
Docetaxel	Y	Y	N		Y	1996	Y	<a href="https://go.drugbank.com/drugs/DB01248">DB01248</a>	L01CD02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL92">CHEMBL92</a>	Esophageal Cancers; Ewing&#39;s Sarcoma; Locally Advanced Breast Cancer (LABC); Metastatic Bladder Cancer; Metastatic Breast Cancer; Metastatic Hormone Refractory Prostate Cancer; Node Positive Breast Cancer; Ovarian Cancer Metastatic; Small Cell Lung Cancer (SCLC); Soft Tissue Sarcoma (STS); Advanced untreated gastric adenocarcinoma; Locally advanced Squamous cell carcinoma of head and neck; Locally advanced untreated non small cell lung cancer; Metastatic Squamous cell carcinoma of head and neck; Metastatic untreated non small cell lung cancer; Refractory, locally advanced Non small cell lung cancer; Refractory, metastatic Non small cell lung cancer	TUBA1B; ORM2; NR1I2; HRAS; CHST3; XRCC4; TUBB6; TUBA1C; PGR; MUC16; RPL13; CYP1A1; TUBB1; BAX; ABCC6; ATP7A; TUBB; IGF2; ERBB2; SPG7; RAF1; PPCDC; KRAS; SLCO1B1; HNF4A; TUBA3C; FGFR1; STK11; CYP2A6; TUBB8; XRCC3; TUBB2B; ACSS2; TLE3; VAC14; NAT2; BCL2; GCF1; TUB; PTEN; MAP3K1; TUBA4A; PGP; XRCC1; PPARD; KLK3; FOLH1; GSTP1; AKR1C3; TUBB4B; MDM4; ABCG2; TUBB4A; RXRA; TP53; EPHX1; DDIT3; PIK3CA; GSTM1; ADAMTSL4-AS1; PRDX4; RNF8; SULT1C4; ABCC1; CYP4B1; ERBB3; TUBA1A; SNORD68; FGFR3; SLC10A2; ESR2; TUBA3E; FBXW7; ABCC10; BIRC5; NR1I3; TUBB2A; SOD2; CD44; ESR1; GAS6; BRD4; TUBB3	2024-07-24	
Dostarlimab	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB15627">DB15627</a>	L01FF07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298124">CHEMBL4298124</a>	Adults with mismatch repair deficient (dMMR) recurrent or advanced endometrial cancer that has progressed on or following prior treatment with a platinum-containing regimen	POLD1; PDCD1; POLE; MLH1; MSH2; PMS2; MSH6	2024-07-24	
